poi_id,poi_name,poi_geometry,poi_lat,poi_lng,poi_cate,is_area,parent_poi_id,frame_n_total,is_focal
66.0,Brick Hill (Nam Long Shan),POINT (114.1721746 22.2430067),22.2430067,114.1721746,outdoor,0,,5,0
67.0,Bridal Tea House Hotel,POINT (114.1706243 22.3109522),22.3109522,114.1706243,hotel,0,,8,0
69.0,British Consulate General,POINT (114.164989 22.276156),22.276156,114.164989,city,0,,1,0
70.0,Brooklyn Bar and Grill,POINT (114.1526068 22.2822636),22.2822636,114.1526068,dining,0,,9,0
71.0,Buddhist World in the South Archway,POINT (113.9045697 22.2552379),22.2552379,113.9045697,religion,0,,5,0
72.0,Bute St,POINT (114.16861 22.3220107),22.3220107,114.16861,city,0,,2,0
73.0,C Dessert,POINT (114.1709262 22.2769227),22.2769227,114.1709262,dining,0,,5,0
74.0,CHAGEE,POINT (114.17328 22.297559),22.297559,114.17328,dining,0,,13,0
76.0,COA,POINT (114.1520992 22.2840082),22.2840082,114.1520992,dining,0,,5,0
77.0,Cable Car Discovery Centre,POINT (113.9033108 22.2562165),22.2562165,113.9033108,cultural,0,,8,0
78.0,Cafe Aficionado,POINT (113.9342088 22.3190698),22.3190698,113.9342088,dining,0,,1,0
80.0,Cafe Match Box,POINT (114.1845646 22.282017),22.282017,114.1845646,dining,0,,6,0
81.0,Cafe Seasons,POINT (114.1554144 22.2846781),22.2846781,114.1554144,dining,0,,2,0
82.0,Café Ocean,POINT (114.1714354 22.2345036),22.2345036,114.1714354,dining,0,,1,0
83.0,California Hotel,POINT (114.1723522 22.2978257),22.2978257,114.1723522,hotel,0,,7,0
84.0,Camlux Hotel,POINT (114.2060171 22.3237639),22.3237639,114.2060171,hotel,0,,2,0
85.0,Camp Four Bouldering Gym,POINT (114.2056949 22.3829198),22.3829198,114.2056949,sport,0,,2,0
86.0,Canal Rd,POINT (114.1810693 22.2785673),22.2785673,114.1810693,city,0,,9,0
87.0,Canton Rd,POINT (114.1687897 22.3090254),22.3090254,114.1687897,city,0,,27,0
88.0,Cape D'Aguilar,POINT (114.2666667 22.2166667),22.2166667,114.2666667,natural,0,,19,0
89.0,Capital Café,POINT (114.2300047 22.2771433),22.2771433,114.2300047,dining,0,,23,0
90.0,Carbone,POINT (114.1551291 22.2804373),22.2804373,114.1551291,dining,0,,18,0
91.0,Carnarvon Plaza,POINT (114.1732428 22.2992107),22.2992107,114.1732428,shopping,0,,2,0
92.0,Carnarvon Rd,POINT (114.1735651 22.2993153),22.2993153,114.1735651,city,0,,12,0
93.0,Castle Peak,POINT (113.9535622 22.3889552),22.3889552,113.9535622,outdoor,0,,2,0
94.0,Castle of Magical Dreams,POINT (114.0410987 22.312553),22.312553,114.0410987,entertainment,0,,7,0
96.0,Causeway Bay,POINT (114.1914919 22.2859787),22.2859787,114.1914919,area,0,,913,1
97.0,Causeway Bay Centre Shopping Arcade,POINT (114.1866883 22.2800677),22.2800677,114.1866883,shopping,0,,5,0
98.0,Causeway Bay Station,POINT (114.1850421 22.2803747),22.2803747,114.1850421,transit,0,,24,0
99.0,Causeway Rd,POINT (114.1897508 22.2807093),22.2807093,114.1897508,city,0,,5,0
100.0,Celebrity Gifts,POINT (114.0371427 22.3091228),22.3091228,114.0371427,shopping,0,,1,0
101.0,Central,POINT (114.1587983 22.2799907),22.2799907,114.1587983,area,0,,1483,1
