video_date,author_region,journey_n,avg_journey_sentiment
2016-02-28,KR,3,0.9265236688984765
2019-09-25,VN,1,0.9211407750844955
2019-10-11,SG,1,0.9582765102386475
2020-01-11,BE,1,0.06085970997810364
2020-05-04,US,1,0.634063646197319
2020-05-22,US,1,0.9229393601417542
2020-05-27,US,1,0.6018480062484741
2020-06-05,US,1,0.8346485793590546
2020-08-14,GB,1,0.9001827239990234
2021-01-24,US,1,0.05885057523846626
2021-04-16,SG,1,0.9643622040748596
2021-05-03,SG,1,0.7888133823871613
2021-05-26,VN,1,0.887228935956955
2021-08-09,GB,1,0.9578969478607178
2021-08-09,ID,1,0.5839655995368958
2021-08-17,ID,1,0.9175731976826985
2021-09-26,MX,1,0.911026656627655
2021-10-16,GB,1,0.889679491519928
2021-11-28,SD,1,0.9440873861312866
2021-12-15,HK,1,0.8460379838943481
2022-01-25,HK,2,0.8044129833579063
2022-02-20,ID,1,0.9150511503219605
2022-03-25,VN,1,0.8918034061789513
2022-04-01,US,1,0.54328653216362
2022-04-07,TH,1,0.8935832579930624
2022-06-01,PH,1,0.7840301394462585
2022-06-15,PH,1,0.5526328049600124
2022-06-22,PH,1,0.8563337445259094
2022-06-22,SG,1,0.023117372766137123
2022-07-08,PH,1,0.835559219121933
2022-07-09,SG,1,0.9424581527709961
2022-07-10,US,1,0.49331989139318466
2022-07-11,AU,1,0.7814728617668152
2022-07-11,PH,1,0.5872735008597374
2022-07-22,AU,1,0.8260388953744301
2022-07-23,PH,1,0.8859198689460754
2022-07-28,ID,1,0.32329532504081726
2022-08-06,PH,1,0.9377347793844011
2022-08-17,DE,1,0.8422892689704895
2022-08-18,KR,1,0.34948723825315636
2022-08-28,JP,1,0.8336505889892578
2022-09-04,AU,1,0.913433387875557
2022-09-18,MY,1,0.8030843138694763
2022-09-19,PH,1,0.893589973449707
2022-09-23,PH,1,0.04052504152059555
2022-10-13,TH,1,0.39587515592575073
2022-10-16,HK,1,0.8704781867563725
2022-10-16,PH,1,0.09351488202810287
2022-11-02,NL,1,0.5461433591055018
2022-11-09,GB,1,0.8893112000077963
2022-11-15,GB,1,0.7314316034317017
2022-11-22,TW,1,0.7977157433827718
2022-11-23,ID,1,0.23868635296821594
2022-11-28,US,1,0.8593064546585083
2022-11-29,GB,1,0.8700739741325378
2022-12-01,PH,1,0.9579617977142334
2022-12-04,TR,1,0.32038556784391403
2022-12-09,US,1,0.5804373994469643
2022-12-13,TR,1,0.79277061091529
2022-12-14,CA,1,0.8023386985063553
2022-12-21,PH,1,0.29189643263816833
2022-12-26,TR,1,0.9275886416435242
2022-12-30,PH,1,0.41696668465932213
2023-01-04,AU,1,0.9467708766460419
2023-01-07,US,1,0.7762835621833801
2023-01-13,PH,1,0.5552724804729223
2023-01-13,SG,1,0.9303510189056396
2023-01-14,PH,1,0.6016047336161137
2023-01-15,JP,1,0.7406252160668373
2023-01-15,PH,1,0.9429165025552114
2023-01-15,US,2,0.527545720183601
2023-01-16,FR,1,0.05835013464093208
2023-01-17,PH,1,0.5232700126038657
2023-01-17,US,1,0.9184903025627136
2023-01-18,PH,1,0.48956043645739555
2023-01-18,US,3,0.8302063922639246
2023-01-20,PH,2,0.8024313896894455
2023-01-22,PH,1,0.08269568905234337
2023-01-22,US,1,0.6908779740333557
2023-01-23,PH,1,0.7232078313827515
2023-01-26,US,1,0.5288511365652084
2023-01-28,PH,2,0.7615901160092714
2023-01-29,PH,1,0.9419023791948954
2023-01-31,US,1,0.4731158819049597
2023-02-01,US,1,0.7584661692380905
2023-02-02,SG,1,0.8121916651725769
2023-02-03,SG,1,0.03221463784575462
2023-02-05,JP,1,0.9323285222053528
2023-02-06,CO,1,0.569607213139534
2023-02-06,SG,1,0.917860597372055
2023-02-06,US,1,0.666314924756686
2023-02-07,ID,2,0.8354592770338058
2023-02-07,US,1,0.7580707371234894
2023-02-09,KW,1,0.8531130403280258
2023-02-11,AU,1,0.9738835692405701
2023-02-11,PH,1,0.18080548722563045
2023-02-11,SG,1,0.8962568044662476
2023-02-11,US,1,0.7449066605832841
2023-02-12,US,1,0.5511554479598999
2023-02-13,ID,1,0.804378446225161
2023-02-13,PH,1,0.22710859961807728
2023-02-13,SG,1,0.8595260184258222
2023-02-14,PH,1,0.4978459825506434
2023-02-14,TW,1,0.8926156461238861
2023-02-15,AU,1,0.7456402596500183
2023-02-15,US,1,0.9029662211736044
2023-02-16,ID,1,0.627512772878011
2023-02-17,PH,1,0.5627053815871477
2023-02-19,PH,1,0.5430334185560545
2023-02-20,PH,1,0.36252912878990173
2023-02-21,GB,2,0.7560528914133708
2023-02-21,MY,1,0.7097209493319193
2023-02-22,GB,1,0.8776265382766724
2023-02-22,ID,1,0.7847034434477488
2023-02-23,GB,2,0.6997165679931641
2023-02-23,PH,1,0.7327894303202629
2023-02-24,MY,1,0.5531536340713501
2023-02-24,NZ,2,0.7728517676393192
2023-02-25,GB,1,0.5310317153731982
2023-02-25,MY,1,0.8190528750419617
2023-02-25,PH,2,0.566434129041285
2023-02-25,SG,1,0.14999112486839294
2023-02-25,TW,1,0.6850714609026909
2023-02-26,AU,1,0.49145383238792417
2023-02-26,GB,1,0.6404087642828623
2023-02-26,PH,3,0.5649531057061533
2023-02-27,GB,1,0.6903076661484582
2023-02-27,MY,1,0.8370293080806732
2023-02-27,NZ,1,0.8955793678760529
2023-02-27,PH,1,0.6279963006575903
2023-02-27,US,1,0.8602051734924316
2023-02-28,PH,1,0.5581043594354538
2023-02-28,US,3,0.8034371170732709
2023-03-01,NZ,1,0.8050966858863831
2023-03-01,PH,2,0.6973907225765288
2023-03-02,TH,1,0.8609627485275269
2023-03-03,CA,1,0.8406098484992981
2023-03-03,ID,1,0.5734115540981293
2023-03-03,ZA,1,0.9341460665067037
2023-03-04,DZ,1,0.677089512348175
2023-03-04,PH,1,0.9039106965065002
2023-03-04,TH,1,0.6967749231391483
2023-03-05,GB,1,0.5982372380793095
2023-03-05,ID,1,0.5050957149360329
2023-03-06,PH,1,0.9686400353908539
2023-03-06,US,3,0.8902913828690847
2023-03-07,PH,2,0.8444931631286938
2023-03-07,US,3,0.7242612660759025
2023-03-08,EG,1,0.9331429600715637
2023-03-08,SG,1,0.05283178761601448
2023-03-09,GB,1,0.8391485214233398
2023-03-09,PH,4,0.5255046833716777
2023-03-09,US,2,0.8437340296804905
2023-03-10,GB,1,0.41769056022167206
2023-03-10,PH,1,0.9131627678871155
2023-03-10,TH,1,0.6032837306459744
2023-03-10,US,1,0.9319325089454651
2023-03-11,AU,1,0.4542675018310547
2023-03-11,GB,1,0.8564428091049194
2023-03-11,PH,3,0.6798142724015094
2023-03-11,US,3,0.7456649880235394
2023-03-11,ZA,2,0.8156266344090304
2023-03-12,AU,2,0.8882504800955455
2023-03-12,PH,1,0.7315735978384813
2023-03-12,VN,1,0.8172159790992737
2023-03-13,PH,3,0.7141664048856576
2023-03-14,GB,1,0.8851762413978577
2023-03-14,JP,1,0.4847587709211641
2023-03-14,PH,1,0.4329767934978008
