video_date,poi_id,poi_name,poi_cate,journey_n,stop_n,avg_stop_sentiment,inbound_n,outbound_n
2022-09-04,239.0,Giant Panda Adventure,entertainment,1,1,0.9451626539230348,1,1
2022-09-04,296.0,Hong Kong Disneyland,entertainment,1,2,0.9103566110134125,2,2
2022-09-04,312.0,Hong Kong Science Museum,cultural,1,1,0.9397281408309937,1,1
2022-09-04,598.0,Ocean Park,entertainment,1,4,0.768478088080883,3,3
2022-09-18,804.0,Tai O,area,1,1,0.7182266712188721,0,1
2022-09-18,1013.0,Yau Ma Tei,area,1,1,0.6923601627349854,1,0
2022-09-19,296.0,Hong Kong Disneyland,entertainment,1,1,0.893589973449707,0,0
2022-09-23,53.0,Best Western Plus Hotel,hotel,1,1,0.0238400660455226,0,0
2022-10-13,300.0,Hong Kong International Airport,transit,1,1,0.239877387881279,0,0
2022-10-16,296.0,Hong Kong Disneyland,entertainment,1,1,0.8228188939392567,0,0
2022-10-16,300.0,Hong Kong International Airport,transit,1,1,0.09351488202810287,0,0
2022-11-02,755.0,Stanley Market,shopping,1,1,0.47421576827764506,0,0
2022-11-09,56.0,Big Wave Bay Beach,natural,1,1,0.8294150233268738,1,1
2022-11-09,404.0,Kowloon,area,1,1,0.8610524535179138,1,0
2022-11-09,444.0,Lamma Island,natural,1,1,0.5166125446557999,1,1
2022-11-09,815.0,Tai Po,area,1,1,0.8993077874183655,1,1
2022-11-09,885.0,Tian Tan Buddha,religion,1,1,0.9024069607257843,1,1
2022-11-09,921.0,Tsz Shan Monastery,religion,1,1,0.8904120922088623,1,1
2022-11-09,946.0,Victoria Peak,city,1,2,0.9003692269325256,1,2
2022-11-15,675.0,SOGO,shopping,1,1,0.6617985367774963,0,1
2022-11-15,944.0,Victoria Harbour,city,1,1,0.7150566577911377,1,0
2022-11-22,309.0,Hong Kong Palace Museum,cultural,1,1,0.6591198444366455,1,0
2022-11-22,944.0,Victoria Harbour,city,1,1,0.8230017423629761,0,1
2022-11-22,977.0,West Kowloon Cultural District,cultural,1,1,0.7080069780349731,1,1
2022-11-23,300.0,Hong Kong International Airport,transit,1,1,0.175742395222187,0,0
2022-11-28,946.0,Victoria Peak,city,1,1,0.7539495825767517,0,0
2022-11-29,451.0,Lantau Island,natural,1,1,0.7902542948722839,1,1
2022-11-29,944.0,Victoria Harbour,city,1,1,0.6304539442062378,0,1
2022-11-29,946.0,Victoria Peak,city,1,1,0.9625595211982727,1,0
2022-12-01,163.0,DON DON DONKI,shopping,1,1,0.928034007549286,0,0
2022-12-04,300.0,Hong Kong International Airport,transit,1,1,0.1588676422834396,1,0
2022-12-04,567.0,Nathan Rd,city,1,1,0.0813981145620346,0,1
2022-12-09,209.0,Fa Yuen St,city,1,1,0.56906908005476,0,0
2022-12-13,271.0,Harbour City,shopping,1,1,0.8964071869850159,1,1
2022-12-13,295.0,Hong Kong Cultural Centre,cultural,1,3,0.3647787819306056,3,3
2022-12-13,304.0,Hong Kong Museum of Art,cultural,1,3,0.7775488297144572,3,2
2022-12-13,310.0,Hong Kong Park,city,1,1,0.8775606751441956,1,1
2022-12-13,638.0,Prince's Building,city,1,1,0.6651015281677246,1,1
2022-12-13,874.0,The Peninsula,hotel,1,1,0.8773777484893799,1,1
2022-12-13,907.0,Tsim Sha Tsui,area,1,1,0.7635437250137329,1,1
2022-12-13,944.0,Victoria Harbour,city,1,3,0.8439405527379779,2,3
2022-12-13,946.0,Victoria Peak,city,1,1,0.8521730303764343,1,1
2022-12-14,70.0,Brooklyn Bar and Grill,dining,1,1,0.9193320274353028,1,1
2022-12-14,101.0,Central,area,1,1,0.799068033695221,1,1
2022-12-14,296.0,Hong Kong Disneyland,entertainment,1,1,0.8555270880460739,1,1
2022-12-14,451.0,Lantau Island,natural,1,1,0.8844298124313354,1,0
2022-12-14,704.0,Shanghai St,city,1,1,0.3142799437046051,0,1
2022-12-21,293.0,Hong Kong Convention and Exhibition Centre,city,1,1,0.1766774505376815,0,0
2022-12-26,307.0,Hong Kong Observation Wheel,entertainment,1,1,0.8639799356460571,0,0
2022-12-30,296.0,Hong Kong Disneyland,entertainment,1,4,0.5121479649096727,3,3
2022-12-30,300.0,Hong Kong International Airport,transit,1,1,0.8891437649726868,1,1
2022-12-30,784.0,Sunny Bay Station,transit,1,3,0.12327220477163787,3,3
2022-12-30,915.0,Tsing Yi Station,transit,1,1,0.21391697376966476,1,1
