video_date,video_n,journey_n,avg_journey_sentiment,avg_journey_sentiment_frame,avg_stops_per_journey,total_stop_n,unique_poi_n,avg_stop_sentiment,total_edge_n
2016-02-28,3,3,0.9265236688984765,0.9265236688984765,1.6666666666666667,5,4,0.9178640425205231,2
2019-09-25,1,1,0.9211407750844955,0.9278486967086792,2.0,2,2,0.9211407750844955,1
2019-10-11,1,1,0.9582765102386475,0.9582765102386475,1.0,1,1,0.9582765102386475,0
2020-01-11,1,1,0.06085970997810364,0.06085970997810364,1.0,1,1,0.06085970997810364,0
2020-05-04,1,1,0.634063646197319,0.634063646197319,2.0,2,2,0.634063646197319,1
2020-05-22,1,1,0.9229393601417542,0.9229393601417542,1.0,1,1,0.9229393601417542,0
2020-05-27,1,1,0.6018480062484741,0.6018480062484741,1.0,1,1,0.6018480062484741,0
2020-06-05,1,1,0.8346485793590546,0.8346485793590546,4.0,4,3,0.8346485793590546,3
2020-08-14,1,1,0.9001827239990234,0.9001827239990234,2.0,2,2,0.9001827239990234,1
2021-01-24,1,1,0.05885057523846626,0.05885057523846626,1.0,1,1,0.05885057523846626,0
2021-04-16,1,1,0.9643622040748596,0.9643622040748596,1.0,1,1,0.9643622040748596,0
2021-05-03,1,1,0.7888133823871613,0.7888133823871613,1.0,1,1,0.7888133823871613,0
2021-05-26,1,1,0.887228935956955,0.887228935956955,2.0,2,2,0.887228935956955,1
2021-08-09,2,2,0.7709312736988068,0.7709312736988068,1.0,2,2,0.7709312736988068,0
2021-08-17,1,1,0.9175731976826985,0.9175731976826985,1.0,1,1,0.9175731976826985,0
2021-09-26,1,1,0.911026656627655,0.911026656627655,1.0,1,1,0.911026656627655,0
2021-10-16,1,1,0.889679491519928,0.889679491519928,1.0,1,1,0.889679491519928,0
2021-11-28,1,1,0.9440873861312866,0.9440873861312866,1.0,1,1,0.9440873861312866,0
2021-12-15,1,1,0.8460379838943481,0.8460379838943481,1.0,1,1,0.8460379838943481,0
2022-01-25,2,2,0.8044129833579063,0.8006135761737824,2.5,5,3,0.7918690919876099,3
2022-02-20,1,1,0.9150511503219605,0.8876278570720127,5.0,5,5,0.9150511503219605,4
2022-03-25,1,1,0.8918034061789513,0.9026078939437866,4.0,4,4,0.8918034061789513,3
2022-04-01,1,1,0.54328653216362,0.54328653216362,2.0,2,2,0.54328653216362,1
2022-04-07,1,1,0.8935832579930624,0.8935832579930624,1.0,1,1,0.8935832579930624,0
2022-06-01,1,1,0.7840301394462585,0.7840301394462585,1.0,1,1,0.7840301394462585,0
2022-06-15,1,1,0.5526328049600124,0.5526328049600124,4.0,4,4,0.5526328049600124,3
2022-06-22,2,2,0.43972555864602325,0.44381420436100316,5.5,11,9,0.7805868016386573,9
2022-07-08,1,1,0.835559219121933,0.835559219121933,1.0,1,1,0.835559219121933,0
2022-07-09,1,1,0.9424581527709961,0.9424581527709961,1.0,1,1,0.9424581527709961,0
2022-07-10,1,1,0.49331989139318466,0.49331989139318466,1.0,1,1,0.49331989139318466,0
2022-07-11,2,2,0.6843731813132763,0.7149832472205162,1.5,3,3,0.6520066211620966,1
2022-07-22,1,1,0.8260388953744301,0.7762635768158361,7.0,7,5,0.8260388953744301,6
2022-07-23,1,1,0.8859198689460754,0.8859198689460754,1.0,1,1,0.8859198689460754,0
2022-07-28,1,1,0.32329532504081726,0.32329532504081726,1.0,1,1,0.32329532504081726,0
2022-08-06,1,1,0.9377347793844011,0.9377347793844011,1.0,1,1,0.9377347793844011,0
2022-08-17,1,1,0.8422892689704895,0.8422892689704895,1.0,1,1,0.8422892689704895,0
2022-08-18,1,1,0.34948723825315636,0.31037548650056124,3.0,3,3,0.34948723825315636,2
2022-08-28,1,1,0.8336505889892578,0.8336505889892578,1.0,1,1,0.8336505889892578,0
2022-09-04,1,1,0.913433387875557,0.9086651086807251,8.0,8,4,0.913433387875557,7
2022-09-18,1,1,0.8030843138694763,0.8030843138694763,2.0,2,2,0.8030843138694763,1
2022-09-19,1,1,0.893589973449707,0.893589973449707,1.0,1,1,0.893589973449707,0
2022-09-23,1,1,0.04052504152059555,0.04052504152059555,1.0,1,1,0.04052504152059555,0
2022-10-13,1,1,0.39587515592575073,0.39587515592575073,1.0,1,1,0.39587515592575073,0
2022-10-16,2,2,0.48199653439223766,0.48199653439223766,1.0,2,2,0.48199653439223766,0
2022-11-02,1,1,0.5461433591055018,0.5461433591055018,1.0,1,1,0.5461433591055018,0
2022-11-09,1,1,0.8893112000077963,0.8883137028468283,8.0,8,7,0.8893112000077963,7
2022-11-15,1,1,0.7314316034317017,0.7314316034317017,2.0,2,2,0.7314316034317017,1
2022-11-22,1,1,0.7977157433827718,0.7977157433827718,3.0,3,3,0.7977157433827718,2
2022-11-23,1,1,0.23868635296821594,0.23868635296821594,1.0,1,1,0.23868635296821594,0
2022-11-28,1,1,0.8593064546585083,0.8593064546585083,1.0,1,1,0.8593064546585083,0
2022-11-29,1,1,0.8700739741325378,0.8700739741325378,3.0,3,3,0.8700739741325378,2
2022-12-01,1,1,0.9579617977142334,0.9579617977142334,1.0,1,1,0.9579617977142334,0
2022-12-04,1,1,0.32038556784391403,0.32038556784391403,2.0,2,2,0.32038556784391403,1
2022-12-09,1,1,0.5804373994469643,0.5804373994469643,1.0,1,1,0.5804373994469643,0
2022-12-13,1,1,0.79277061091529,0.8175003781914711,15.0,15,9,0.79277061091529,14
2022-12-14,1,1,0.8023386985063553,0.8438507355749607,5.0,5,5,0.8023386985063553,4
2022-12-21,1,1,0.29189643263816833,0.29189643263816833,1.0,1,1,0.29189643263816833,0
2022-12-26,1,1,0.9275886416435242,0.9275886416435242,1.0,1,1,0.9275886416435242,0
2022-12-30,1,1,0.41696668465932213,0.397639744480451,9.0,9,4,0.41696668465932213,8
2023-01-04,1,1,0.9467708766460419,0.9467708766460419,1.0,1,1,0.9467708766460419,0
2023-01-07,1,1,0.7762835621833801,0.7762835621833801,1.0,1,1,0.7762835621833801,0
2023-01-13,2,2,0.742811749689281,0.742811749689281,2.5,5,5,0.7053038958460093,3
2023-01-14,1,1,0.6016047336161137,0.5729634668678045,3.0,3,3,0.6016047336161137,2
2023-01-15,4,4,0.6846582897473127,0.6790957308480782,2.5,10,8,0.716080803660055,6
2023-01-16,1,1,0.05835013464093208,0.05835013464093208,1.0,1,1,0.05835013464093208,0
2023-01-17,2,2,0.7208801575832897,0.8212377052658644,2.5,5,4,0.6813581285874049,3
2023-01-18,4,4,0.7450449033122923,0.758237850237399,2.75,11,10,0.6456638317216526,7
2023-01-20,2,2,0.8024313896894455,0.8024313896894455,1.5,3,2,0.7941021124521891,1
2023-01-22,2,2,0.38678683154284954,0.38678683154284954,1.5,3,3,0.2854231173793475,1
2023-01-23,1,1,0.7232078313827515,0.7232078313827515,1.0,1,1,0.7232078313827515,0
2023-01-26,1,1,0.5288511365652084,0.5288511365652084,1.0,1,1,0.5288511365652084,0
2023-01-28,2,2,0.7615901160092714,0.7941030919513044,3.0,6,4,0.7018670916311547,4
2023-01-29,1,1,0.9419023791948954,0.9419023791948954,1.0,1,1,0.9419023791948954,0
2023-01-31,1,1,0.4731158819049597,0.4731158819049597,2.0,2,2,0.4731158819049597,1
2023-02-01,1,1,0.7584661692380905,0.7305604020754496,2.0,2,2,0.7584661692380905,1
2023-02-02,1,1,0.8121916651725769,0.8121916651725769,1.0,1,1,0.8121916651725769,0
2023-02-03,1,1,0.03221463784575462,0.03221463784575462,1.0,1,1,0.03221463784575462,0
