video_date,origin_poi_id,origin_poi_name,origin_poi_cate,dest_poi_id,dest_poi_name,dest_poi_cate,flow_n,avg_edge_sentiment
2022-12-13,907,Tsim Sha Tsui,area,638,Prince's Building,city,1,0.7143226265907288
2022-12-13,944,Victoria Harbour,city,295,Hong Kong Cultural Centre,cultural,1,0.7511069029569626
2022-12-13,944,Victoria Harbour,city,304,Hong Kong Museum of Art,cultural,1,0.7734043101469676
2022-12-13,944,Victoria Harbour,city,946,Victoria Peak,city,1,0.808795690536499
2022-12-13,946,Victoria Peak,city,944,Victoria Harbour,city,1,0.8764377981424332
2022-12-14,70,Brooklyn Bar and Grill,dining,101,Central,area,1,0.8592000305652618
2022-12-14,101,Central,area,451,Lantau Island,natural,1,0.8417489230632782
2022-12-14,296,Hong Kong Disneyland,entertainment,70,Brooklyn Bar and Grill,dining,1,0.8874295577406883
2022-12-14,704,Shanghai St,city,296,Hong Kong Disneyland,entertainment,1,0.5849035158753395
2022-12-30,296,Hong Kong Disneyland,entertainment,300,Hong Kong International Airport,transit,1,0.9231591671705246
2022-12-30,296,Hong Kong Disneyland,entertainment,784,Sunny Bay Station,transit,2,0.11307001905515786
2022-12-30,300,Hong Kong International Airport,transit,915,Tsing Yi Station,transit,1,0.5515303693711757
2022-12-30,784,Sunny Bay Station,transit,296,Hong Kong Disneyland,entertainment,3,0.24353898409754035
2022-12-30,915,Tsing Yi Station,transit,784,Sunny Bay Station,transit,1,0.12735174857079978
2023-01-13,426,Kwun Tong,area,771,Sum Hung Cuisine,dining,1,0.31091583799570793
2023-01-13,771,Sum Hung Cuisine,dining,873,The Peak Tram,entertainment,1,0.4394964678213
2023-01-13,973,Wellington St,city,503,Mak's Noodle,dining,1,0.8771383166313171
2023-01-14,300,Hong Kong International Airport,transit,913,Tsing Ma Bridge,city,1,0.4258341547101736
2023-01-14,913,Tsing Ma Bridge,city,135,Chiu Fat Porridge Noodle Restaurant,dining,1,0.511269599199295
2023-01-15,12,Aberdeen,area,96,Causeway Bay,area,1,0.9725010991096497
2023-01-15,17,Adventureland,entertainment,296,Hong Kong Disneyland,entertainment,1,0.9166705667972564
2023-01-15,296,Hong Kong Disneyland,entertainment,17,Adventureland,entertainment,1,0.9318165555596352
2023-01-15,300,Hong Kong International Airport,transit,702,Sham Shui Po Government Primary School,school,1,0.08441300255556901
2023-01-15,584,Ngong Ping Village,cultural,629,Po Lin Monastery,religion,1,0.6643023584969342
2023-01-15,629,Po Lin Monastery,religion,584,Ngong Ping Village,cultural,1,0.7285926565527916
2023-01-17,296,Hong Kong Disneyland,entertainment,300,Hong Kong International Airport,transit,1,0.4682545508775446
2023-01-17,300,Hong Kong International Airport,transit,296,Hong Kong Disneyland,entertainment,1,0.6383951426380211
2023-01-17,743,South Horizons,city,834,Temple Street Night Market,shopping,1,0.8888076663017273
2023-01-18,320,Hong Kong Trail,outdoor,632,Pok Fu Lam Reservoir Rd,outdoor,1,0.6980267812808354
2023-01-18,434,LOUIS VUITTON,shopping,612,Pacific Place,shopping,1,0.5471830815076828
2023-01-18,612,Pacific Place,shopping,873,The Peak Tram,entertainment,1,0.6179643844564756
2023-01-18,632,Pok Fu Lam Reservoir Rd,outdoor,320,Hong Kong Trail,outdoor,1,0.7214060078064601
2023-01-18,871,The Peak Terminus,transit,944,Victoria Harbour,city,1,0.505886860191822
2023-01-18,873,The Peak Tram,entertainment,871,The Peak Terminus,transit,1,0.24855134387811026
2023-01-18,944,Victoria Harbour,city,300,Hong Kong International Airport,transit,1,0.46842533349990845
2023-01-20,300,Hong Kong International Airport,transit,913,Tsing Ma Bridge,city,1,0.7774435579776764
2023-01-22,850,The Grand Buffet,dining,974,Wesleyan House,religion,1,0.039814120158553054
2023-01-28,180,Disney's Hollywood Hotel,hotel,296,Hong Kong Disneyland,entertainment,1,0.7860388309345581
2023-01-28,296,Hong Kong Disneyland,entertainment,180,Disney's Hollywood Hotel,hotel,1,0.805409165409704
2023-01-28,296,Hong Kong Disneyland,entertainment,975,West Kowloon,area,1,0.47847360372543335
2023-01-28,975,West Kowloon,area,296,Hong Kong Disneyland,entertainment,1,0.37630991855015355
2023-01-31,300,Hong Kong International Airport,transit,817,Tai Tam,area,1,0.38735916279256344
2023-02-01,293,Hong Kong Convention and Exhibition Centre,city,946,Victoria Peak,city,1,0.6636946201324463
2023-02-06,460,Lei Yue Mun,area,289,Hoi Ping Rd,city,1,0.6164668624599774
2023-02-07,296,Hong Kong Disneyland,entertainment,96,Causeway Bay,area,1,0.6959039866924286
2023-02-11,543,Mong Kok Night Market,shopping,907,Tsim Sha Tsui,area,1,0.9549812177817028
2023-02-13,17,Adventureland,entertainment,296,Hong Kong Disneyland,entertainment,1,0.893329930305481
2023-02-13,101,Central,area,301,Hong Kong Island,natural,1,0.11380846425890916
2023-02-13,198,East Tsim Sha Tsui,transit,101,Central,area,1,0.0590430805459618
2023-02-13,296,Hong Kong Disneyland,entertainment,17,Adventureland,entertainment,1,0.8298010379076004
2023-02-13,296,Hong Kong Disneyland,entertainment,560,Mystic Manor,entertainment,1,0.5271151129156351
2023-02-13,296,Hong Kong Disneyland,entertainment,598,Ocean Park,entertainment,3,0.7704658046364784
2023-02-13,560,Mystic Manor,entertainment,898,Toy Story Land,entertainment,1,0.5544227603822947
2023-02-13,598,Ocean Park,entertainment,296,Hong Kong Disneyland,entertainment,4,0.8017906311899423
2023-02-13,856,The Hong Kong Polytechnic University,school,198,East Tsim Sha Tsui,transit,1,0.2875481741502881
2023-02-13,898,Toy Story Land,entertainment,296,Hong Kong Disneyland,entertainment,1,0.9008262408407112
2023-02-14,300,Hong Kong International Airport,transit,791,THE MATCHA TOKYO,dining,1,0.4408902069553733
2023-02-14,791,THE MATCHA TOKYO,dining,874,The Peninsula,hotel,1,0.33944572415202856
2023-02-14,874,The Peninsula,hotel,944,Victoria Harbour,city,1,0.3676780601963401
2023-02-14,944,Victoria Harbour,city,874,The Peninsula,hotel,1,0.8548035472631454
2023-02-15,31,Arte M,cultural,546,Monster Building,city,1,0.601067184160153
2023-02-15,546,Monster Building,city,197,East Coast Park Precinct,city,1,0.6510401951769987
2023-02-16,101,Central,area,307,Hong Kong Observation Wheel,entertainment,1,0.5866513426105182
2023-02-19,300,Hong Kong International Airport,transit,1042,iSQUARE,shopping,1,0.16545591130852694
2023-02-19,733,Sky 100,city,946,Victoria Peak,city,1,0.5274894326925278
2023-02-19,944,Victoria Harbour,city,733,Sky 100,city,1,0.5206359773874283
2023-02-19,946,Victoria Peak,city,944,Victoria Harbour,city,1,0.7633926212787628
2023-02-19,1042,iSQUARE,shopping,944,Victoria Harbour,city,1,0.518687330186367
2023-02-21,580,Ngong Ping 360,entertainment,451,Lantau Island,natural,1,0.7610009908676147
2023-02-22,872,The Peak Tower,city,946,Victoria Peak,city,1,0.949748694896698
2023-02-22,946,Victoria Peak,city,872,The Peak Tower,city,1,0.6845649927854538
2023-02-23,101,Central,area,907,Tsim Sha Tsui,area,1,0.5239238642156124
2023-02-23,430,Kwun Yum Temple,religion,540,Mong Kok,area,1,0.7440536939539015
2023-02-23,448,Lan Kwai Fong,cultural,101,Central,area,1,0.6861116938292979
2023-02-23,540,Mong Kok,area,448,Lan Kwai Fong,cultural,1,0.7787936949171126
2023-02-23,579,Ngong Ping,area,580,Ngong Ping 360,entertainment,1,0.7481240630149841
2023-02-23,580,Ngong Ping 360,entertainment,579,Ngong Ping,area,1,0.45755869522690773
2023-02-23,580,Ngong Ping 360,entertainment,584,Ngong Ping Village,cultural,1,0.8612879812717438
2023-02-23,584,Ngong Ping Village,cultural,430,Kwun Yum Temple,religion,1,0.8332066237926483
2023-02-23,907,Tsim Sha Tsui,area,296,Hong Kong Disneyland,entertainment,1,0.6356765478849411
2023-02-24,303,Hong Kong Macau Ferry Terminal,transit,444,Lamma Island,natural,1,0.6231376677751541
2023-02-24,944,Victoria Harbour,city,303,Hong Kong Macau Ferry Terminal,transit,1,0.46432602405548096
2023-02-24,1035,Yuen Po Street Bird Garden,city,465,Lion Rock,outdoor,1,0.7114695757627487
2023-02-25,3,1881 Heritage,shopping,101,Central,area,1,0.486316692084074
2023-02-25,251,Granville Rd,city,344,ICHIRAN,dining,1,0.4167305575683713
2023-02-25,271,Harbour City,shopping,1001,World Trade Centre,city,1,0.5724625587463379
2023-02-25,296,Hong Kong Disneyland,entertainment,300,Hong Kong International Airport,transit,1,0.6780126889546711
2023-02-25,300,Hong Kong International Airport,transit,317,Hong Kong Station,transit,1,0.2727592810988426
2023-02-25,300,Hong Kong International Airport,transit,735,Sky City Interchange,transit,1,0.45825102872082163
2023-02-25,300,Hong Kong International Airport,transit,907,Tsim Sha Tsui,area,1,0.5349395573139191
2023-02-25,317,Hong Kong Station,transit,300,Hong Kong International Airport,transit,1,0.2979379817843437
2023-02-25,344,ICHIRAN,dining,271,Harbour City,shopping,1,0.37805110681802034
2023-02-25,540,Mong Kok,area,944,Victoria Harbour,city,1,0.6085001081228256
2023-02-25,735,Sky City Interchange,transit,913,Tsing Ma Bridge,city,1,0.733041524887085
2023-02-25,860,The Kimberley Hotel,hotel,251,Granville Rd,city,1,0.19579332321882248
2023-02-25,907,Tsim Sha Tsui,area,3,1881 Heritage,shopping,1,0.21519662067294118
2023-02-25,907,Tsim Sha Tsui,area,860,The Kimberley Hotel,hotel,1,0.32489215582609177
2023-02-25,1001,World Trade Centre,city,540,Mong Kok,area,1,0.7745056748390198
2023-02-26,296,Hong Kong Disneyland,entertainment,925,Tung Chung,area,1,0.3674936890602111
2023-02-26,364,K11 MUSEA,shopping,403,Korean Inn Restaurant,dining,1,0.45045663788914675
2023-02-26,364,K11 MUSEA,shopping,944,Victoria Harbour,city,2,0.4278786685317755
2023-02-26,494,Madame Tussauds,cultural,946,Victoria Peak,city,1,0.8522981802622478
2023-02-26,733,Sky 100,city,946,Victoria Peak,city,1,0.6332457661628723
2023-02-26,873,The Peak Tram,entertainment,946,Victoria Peak,city,1,0.48987682908773417
2023-02-26,907,Tsim Sha Tsui,area,946,Victoria Peak,city,1,0.345063797198236
2023-02-26,910,Tsim Sha Tsui Promenade,city,733,Sky 100,city,1,0.324617188423872
2023-02-26,925,Tung Chung,area,296,Hong Kong Disneyland,entertainment,1,0.45090089165247405
2023-02-26,944,Victoria Harbour,city,364,K11 MUSEA,shopping,1,0.6826780140399933
2023-02-26,944,Victoria Harbour,city,874,The Peninsula,hotel,1,0.7433302402496338
2023-02-26,944,Victoria Harbour,city,910,Tsim Sha Tsui Promenade,city,1,0.0260057374835014
2023-02-26,946,Victoria Peak,city,101,Central,area,1,0.5790347283085188
2023-02-26,946,Victoria Peak,city,364,K11 MUSEA,shopping,1,0.5267961323261261
2023-02-26,946,Victoria Peak,city,494,Madame Tussauds,cultural,1,0.865677535533905
2023-02-26,946,Victoria Peak,city,944,Victoria Harbour,city,1,0.6476301550865173
2023-02-26,1001,World Trade Centre,city,364,K11 MUSEA,shopping,1,0.38646178320050234
2023-02-27,96,Causeway Bay,area,404,Kowloon,area,1,0.9178286492824554
2023-02-27,101,Central,area,310,Hong Kong Park,city,1,0.8579933991034825
2023-02-27,101,Central,area,618,Peking Garden,dining,1,0.5603649616241455
2023-02-27,404,Kowloon,area,96,Causeway Bay,area,1,0.7412410378456116
2023-02-27,404,Kowloon,area,989,Wo Foo Commercial Building,city,1,0.8091155588626862
2023-02-27,441,Lai King,area,925,Tung Chung,area,1,0.2707228884100914
2023-02-27,451,Lantau Island,natural,629,Po Lin Monastery,religion,1,0.9143052399158478
2023-02-27,567,Nathan Rd,city,1014,Yau Ma Tei Jade Hawker Bazaar,shopping,1,0.4539313800632953
2023-02-27,580,Ngong Ping 360,entertainment,451,Lantau Island,natural,1,0.7179251424968243
2023-02-27,618,Peking Garden,dining,873,The Peak Tram,entertainment,1,0.8691554218530655
2023-02-27,629,Po Lin Monastery,religion,101,Central,area,1,0.5908499509096146
2023-02-27,675,SOGO,shopping,946,Victoria Peak,city,1,0.7843468189239502
2023-02-27,868,The One Bakery,dining,404,Kowloon,area,1,0.4971047341823578
2023-02-27,873,The Peak Tram,entertainment,300,Hong Kong International Airport,transit,1,0.5469960197806358
2023-02-27,925,Tung Chung,area,580,Ngong Ping 360,entertainment,1,0.32077137008309364
2023-02-27,1014,Yau Ma Tei Jade Hawker Bazaar,shopping,868,The One Bakery,dining,1,0.6479596495628357
2023-02-28,296,Hong Kong Disneyland,entertainment,300,Hong Kong International Airport,transit,1,0.5357208965967099
2023-02-28,300,Hong Kong International Airport,transit,324,Hong Kong-Zhuhai-Macao Bridge,city,1,0.4658801971624295
2023-02-28,324,Hong Kong-Zhuhai-Macao Bridge,city,300,Hong Kong International Airport,transit,1,0.471342133866115
2023-02-28,377,Kam's Roast Goose,dining,944,Victoria Harbour,city,1,0.5896802395582199
2023-02-28,944,Victoria Harbour,city,833,Temple St,city,1,0.6057297587394714
2023-03-01,300,Hong Kong International Airport,transit,150,Clock Tower,cultural,1,0.8141106367111206
2023-03-01,540,Mong Kok,area,290,Hollywood Plaza,shopping,1,0.48200471885502333
2023-03-03,642,Quarry Bay,area,101,Central,area,1,0.8598585873842239
2023-03-03,906,Tsim Chai Kee Noodles,dining,907,Tsim Sha Tsui,area,1,0.34702086448669434
2023-03-03,907,Tsim Sha Tsui,area,731,Sister Wah Beef Brisket,dining,1,0.5403889417648315
2023-03-03,946,Victoria Peak,city,642,Quarry Bay,area,1,0.8603743016719818
2023-03-04,451,Lantau Island,natural,946,Victoria Peak,city,1,0.5524913767973583
2023-03-04,946,Victoria Peak,city,451,Lantau Island,natural,1,0.6349105983972549
2023-03-05,128,Chi Lin Nunnery,religion,629,Po Lin Monastery,religion,1,0.5423549264669418
2023-03-05,270,Happy Valley Racecourse,entertainment,436,Ladies' Market,shopping,1,0.4703306155279279
2023-03-05,296,Hong Kong Disneyland,entertainment,270,Happy Valley Racecourse,entertainment,1,0.9400086253881454
2023-03-05,310,Hong Kong Park,city,565,Nan Lian Garden,cultural,1,0.8015947341918945
2023-03-05,436,Ladies' Market,shopping,968,Wan Chai Station,transit,1,0.0451680542901158
2023-03-05,565,Nan Lian Garden,cultural,173,Diamond Hill,outdoor,1,0.43100110813975334
2023-03-05,629,Po Lin Monastery,religion,310,Hong Kong Park,city,1,0.8091390430927277
2023-03-07,295,Hong Kong Cultural Centre,cultural,804,Tai O,area,1,0.35519202053546906
2023-03-07,300,Hong Kong International Airport,transit,451,Lantau Island,natural,1,0.7584271281957626
2023-03-07,451,Lantau Island,natural,300,Hong Kong International Airport,transit,1,0.7882591485977173
2023-03-07,451,Lantau Island,natural,580,Ngong Ping 360,entertainment,1,0.8174626380205154
2023-03-07,451,Lantau Island,natural,629,Po Lin Monastery,religion,1,0.760898878177007
2023-03-07,451,Lantau Island,natural,945,Victoria Park,city,1,0.8483093827962875
2023-03-07,580,Ngong Ping 360,entertainment,451,Lantau Island,natural,1,0.8169064720471699
2023-03-07,629,Po Lin Monastery,religion,815,Tai Po,area,1,0.6937490999698639
2023-03-07,769,Stubbs Rd,city,363,K11 ARTMALL,shopping,1,0.5961707383394241
2023-03-07,804,Tai O,area,925,Tung Chung,area,1,0.3697068765759468
2023-03-07,815,Tai Po,area,451,Lantau Island,natural,1,0.7453878074884415
2023-03-07,885,Tian Tan Buddha,religion,295,Hong Kong Cultural Centre,cultural,1,0.45473237335681915
2023-03-07,925,Tung Chung,area,451,Lantau Island,natural,1,0.5407173112034798
2023-03-07,964,Wan Chai,area,769,Stubbs Rd,city,1,0.6621952876448631
2023-03-07,1010,Yat Lok Restaurant,dining,328,Hop Yik Tai,dining,1,0.5194086097180843
2023-03-09,137,Choi Hung Estate,city,386,Kennedy Town,area,1,0.4845975339412689
2023-03-09,296,Hong Kong Disneyland,entertainment,300,Hong Kong International Airport,transit,2,0.1328050861567525
2023-03-09,300,Hong Kong International Airport,transit,296,Hong Kong Disneyland,entertainment,2,0.13589049405085718
2023-03-09,300,Hong Kong International Airport,transit,672,Royal View Hotel,hotel,1,0.28333963034674525
2023-03-09,300,Hong Kong International Airport,transit,946,Victoria Peak,city,1,0.32760901749134064
2023-03-09,386,Kennedy Town,area,783,Sung Wong Toi,area,1,0.454289972782135
2023-03-09,546,Monster Building,city,137,Choi Hung Estate,city,1,0.7190200686454773
2023-03-09,672,Royal View Hotel,hotel,300,Hong Kong International Airport,transit,1,0.5525003061629832
2023-03-09,815,Tai Po,area,300,Hong Kong International Airport,transit,1,0.5695356748377283
2023-03-09,834,Temple Street Night Market,shopping,930,Tung Lung Chau,natural,1,0.8977046012878418
2023-03-09,930,Tung Lung Chau,natural,546,Monster Building,city,1,0.7212103307247162
2023-03-09,946,Victoria Peak,city,296,Hong Kong Disneyland,entertainment,1,0.046599657274782644
2023-03-10,22,Ap Lei Pai,natural,12,Aberdeen,area,1,0.5377392942706745
2023-03-10,300,Hong Kong International Airport,transit,296,Hong Kong Disneyland,entertainment,1,0.9061645567417145
2023-03-10,449,Langham Place,shopping,907,Tsim Sha Tsui,area,1,0.27886921912431717
2023-03-10,907,Tsim Sha Tsui,area,300,Hong Kong International Airport,transit,1,0.4034477546811104
