video_date,poi_id,poi_name,poi_cate,author_region,journey_n,stop_n,avg_stop_sentiment
2022-09-04,239.0,Giant Panda Adventure,Entertainment,AU,1,1,0.973561704158783
2022-09-04,296.0,Hong Kong Disneyland,Entertainment,AU,1,2,0.9498142004013062
2022-09-04,312.0,Hong Kong Science Museum,Cultural,AU,1,1,0.9697846174240112
2022-09-04,598.0,Ocean Park,Entertainment,AU,1,4,0.8661230951547623
2022-09-18,804.0,Tai O,area,MY,1,1,0.787947952747345
2022-09-18,1013.0,Yau Ma Tei,area,MY,1,1,0.8182206749916077
2022-09-19,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.893589973449707
2022-09-23,53.0,Best Western Plus Hotel,Hotel,PH,1,1,0.04052504152059555
2022-10-13,300.0,Hong Kong International Airport,Transit,TH,1,1,0.39587515592575073
2022-10-16,296.0,Hong Kong Disneyland,Entertainment,HK,1,1,0.8704781867563725
2022-10-16,300.0,Hong Kong International Airport,Transit,PH,1,1,0.09351488202810287
2022-11-02,755.0,Stanley Market,Shopping,NL,1,1,0.5461433591055018
2022-11-09,56.0,Big Wave Bay Beach,Natural,GB,1,1,0.8964671492576599
2022-11-09,404.0,Kowloon,area,GB,1,1,0.9127342402935028
2022-11-09,444.0,Lamma Island,Natural,GB,1,1,0.664301261305809
2022-11-09,815.0,Tai Po,area,GB,1,1,0.9308552742004395
2022-11-09,885.0,Tian Tan Buddha,Religious,GB,1,1,0.91657754778862
2022-11-09,921.0,Tsz Shan Monastery,Religious,GB,1,1,0.9467358589172363
2022-11-09,946.0,Victoria Peak,Cityscape,GB,1,2,0.9234091341495514
2022-11-15,675.0,SOGO,Shopping,GB,1,1,0.7478065490722656
2022-11-15,944.0,Victoria Harbour,Cityscape,GB,1,1,0.7150566577911377
2022-11-22,309.0,Hong Kong Palace Museum,Cultural,TW,1,1,0.6974225044250488
2022-11-22,944.0,Victoria Harbour,Cityscape,TW,1,1,0.8860666155815125
2022-11-22,977.0,West Kowloon Cultural District,Cultural,TW,1,1,0.8096581101417542
2022-11-23,300.0,Hong Kong International Airport,Transit,ID,1,1,0.23868635296821594
2022-11-28,946.0,Victoria Peak,Cityscape,US,1,1,0.8593064546585083
2022-11-29,451.0,Lantau Island,Natural,GB,1,1,0.8933310508728027
2022-11-29,944.0,Victoria Harbour,Cityscape,GB,1,1,0.7543313503265381
2022-11-29,946.0,Victoria Peak,Cityscape,GB,1,1,0.9625595211982727
2022-12-01,163.0,DON DON DONKI,Shopping,PH,1,1,0.9579617977142334
2022-12-04,300.0,Hong Kong International Airport,Transit,TR,1,1,0.4357408285140991
2022-12-04,567.0,Nathan Rd,Cityscape,TR,1,1,0.20503030717372894
2022-12-09,209.0,Fa Yuen St,Cityscape,US,1,1,0.5804373994469643
2022-12-13,271.0,Harbour City,Shopping,TR,1,1,0.9412710070610046
2022-12-13,295.0,Hong Kong Cultural Centre,Cultural,TR,1,3,0.5195577641328176
2022-12-13,304.0,Hong Kong Museum of Art,Cultural,TR,1,3,0.8234847585360209
2022-12-13,310.0,Hong Kong Park,Cityscape,TR,1,1,0.938408613204956
2022-12-13,638.0,Prince's Building,Cityscape,TR,1,1,0.7535985112190247
2022-12-13,874.0,The Peninsula,Hotel,TR,1,1,0.9153211712837219
2022-12-13,907.0,Tsim Sha Tsui,area,TR,1,1,0.7635437250137329
2022-12-13,944.0,Victoria Harbour,Cityscape,TR,1,3,0.8993718458546532
2022-12-13,946.0,Victoria Peak,Cityscape,TR,1,1,0.8521730303764343
2022-12-14,70.0,Brooklyn Bar and Grill,Dining,CA,1,1,0.9400759339332581
2022-12-14,101.0,Central,area,CA,1,1,0.799068033695221
2022-12-14,296.0,Hong Kong Disneyland,Entertainment,CA,1,1,0.9130374640226364
2022-12-14,451.0,Lantau Island,Natural,CA,1,1,0.8844298124313354
2022-12-14,704.0,Shanghai St,Cityscape,CA,1,1,0.47508224844932556
2022-12-21,293.0,Hong Kong Convention and Exhibition Centre,Cityscape,PH,1,1,0.29189643263816833
2022-12-26,307.0,Hong Kong Observation Wheel,Entertainment,TR,1,1,0.9275886416435242
2022-12-30,296.0,Hong Kong Disneyland,Entertainment,PH,1,4,0.5534493364393711
2022-12-30,300.0,Hong Kong International Airport,Transit,PH,1,1,0.8891437649726868
2022-12-30,784.0,Sunny Bay Station,Transit,PH,1,3,0.13604672253131866
2022-12-30,915.0,Tsing Yi Station,Transit,PH,1,1,0.24161888360977174
2023-01-04,3.0,1881 Heritage,Shopping,AU,1,1,0.9467708766460419
2023-01-07,675.0,SOGO,Shopping,US,1,1,0.7762835621833801
2023-01-13,426.0,Kwun Tong,area,PH,1,1,0.7320435643196106
2023-01-13,503.0,Mak's Noodle,Dining,SG,1,1,0.8875068426132202
2023-01-13,771.0,Sum Hung Cuisine,Dining,PH,1,1,0.019344570115208626
2023-01-13,873.0,The Peak Tram,Entertainment,PH,1,1,0.9144293069839478
2023-01-13,973.0,Wellington St,Cityscape,SG,1,1,0.9731951951980591
2023-01-14,135.0,Chiu Fat Porridge Noodle Restaurant,Dining,PH,1,1,0.7589049339294434
2023-01-14,300.0,Hong Kong International Airport,Transit,PH,1,1,0.4870396666228771
2023-01-14,913.0,Tsing Ma Bridge,Cityscape,PH,1,1,0.5588696002960205
2023-01-15,12.0,Aberdeen,area,US,1,1,0.9653413891792297
2023-01-15,17.0,Adventureland,Entertainment,PH,1,1,0.9313735961914062
2023-01-15,96.0,Causeway Bay,area,US,1,1,0.9796608090400696
