video_date,poi_cate,journey_n,stop_n,avg_stop_sentiment
2023-01-13,area,1,1,0.7320435643196106
2023-01-14,Cityscape,1,1,0.5588696002960205
2023-01-14,Dining,1,1,0.7589049339294434
2023-01-14,Transit,1,1,0.4870396666228771
2023-01-15,Cultural,1,1,0.7824760675430298
2023-01-15,Entertainment,1,3,0.9429165025552114
2023-01-15,Religious,1,2,0.7196997903287411
2023-01-15,School,1,1,0.023143427446484566
2023-01-15,Transit,1,1,0.14203725506862006
2023-01-15,area,1,2,0.9725010991096497
2023-01-16,Shopping,1,1,0.05835013464093208
2023-01-17,Cityscape,1,1,0.9215345978736877
2023-01-17,Entertainment,1,1,0.8558417161305746
2023-01-17,Shopping,1,1,0.9154460072517395
2023-01-17,Transit,1,2,0.3569841608405113
2023-01-18,Cityscape,1,1,0.9062240719795227
2023-01-18,Cultural,1,1,0.9452422261238098
2023-01-18,Entertainment,1,1,0.40729112178087234
2023-01-18,Outdoor,1,3,0.8371601767010158
2023-01-18,Shopping,1,2,0.6471069902181625
2023-01-18,Transit,1,2,0.1648167222738266
2023-01-18,area,1,1,0.7082167739669482
2023-01-20,Cityscape,1,1,0.9074291586875916
2023-01-20,Transit,2,2,0.7374385893344879
2023-01-22,Cultural,1,1,0.6908779740333557
2023-01-22,Dining,1,1,0.0439511314034462
2023-01-22,Religious,1,1,0.12144024670124054
2023-01-23,area,1,1,0.7232078313827515
2023-01-26,Transit,1,1,0.5288511365652084
2023-01-28,Entertainment,1,3,0.7952156920736241
2023-01-28,Hotel,1,1,0.9162896573543549
2023-01-28,Transit,1,1,0.8511746525764465
2023-01-28,area,1,1,0.058091163635253906
2023-01-29,Entertainment,1,1,0.9419023791948954
2023-01-31,Transit,1,1,0.023292403668165207
2023-01-31,area,1,1,0.9229393601417542
2023-02-01,Cityscape,1,2,0.7584661692380905
2023-02-02,Dining,1,1,0.8121916651725769
2023-02-03,Dining,1,1,0.03221463784575462
2023-02-05,Cityscape,1,1,0.9323285222053528
2023-02-06,Cityscape,1,1,0.6684854626655579
2023-02-06,Transit,1,1,0.917860597372055
2023-02-06,area,2,2,0.616875799993674
2023-02-07,Dining,1,1,0.7580707371234894
2023-02-07,Entertainment,2,2,0.9479532092809677
2023-02-07,area,1,1,0.47091612219810486
2023-02-09,Cityscape,1,1,0.8531130403280258
2023-02-11,Dining,1,1,0.8962568044662476
2023-02-11,Natural,1,1,0.7449066605832841
2023-02-11,Shopping,1,1,0.9732853174209595
2023-02-11,Transit,1,1,0.18080548722563045
2023-02-11,area,1,1,0.9744818210601807
2023-02-12,Dining,1,1,0.5511554479598999
2023-02-13,Entertainment,2,14,0.8358913446255388
2023-02-13,Natural,1,1,0.1501268744468689
2023-02-13,School,1,1,0.5567639470100403
2023-02-13,Transit,1,1,0.015952594578266144
2023-02-13,area,1,1,0.1855909824371338
